대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2021-07-27,0,30.4,1.9,50,0,28,19,11865
2021-07-28,0,29.6,2,270,0.05,37,27,9917
2021-07-29,0,30.5,2.1,140,0.021,44,31,11837
2021-07-30,0,29.8,2.5,200,0,21,15,11350
2021-07-31,1,27.1,1.3,360,0,21,16,8645
2021-08-01,1,26.5,1.6,200,0.002,28,21,4116
2021-08-02,0,28,1.8,50,0,12,9,10438
2021-08-03,0,28.9,2,200,0,18,12,12255
2021-08-04,0,29.4,2.1,270,0,19,14,11950
2021-08-05,0,28.1,2.1,50,0,23,18,12111
2021-08-06,0,28,2.1,270,0,17,12,11681
2021-08-07,1,26.8,1.7,50,0,13,9,10254
2021-08-08,1,28.3,2.3,50,0.013,21,14,5998
2021-08-09,0,27.7,2.3,70,0,12,7,12683
2021-08-10,0,27.4,2,50,0,14,10,12831
2021-08-11,0,26.8,1.8,50,0,32,23,12767
2021-08-12,0,26.6,2,50,0,38,29,12762
2021-08-13,0,26.1,3,50,0.015,25,19,13047
2021-08-14,1,26.9,2.3,50,0.034,12,9,11295
2021-08-15,1,27.3,2.3,50,0,10,7,9688
2021-08-16,1,25.9,2.4,50,0.007,18,12,8388
2021-08-17,0,24.3,2.8,50,0.154,15,10,7780
2021-08-18,0,26,2.6,50,0.016,9,6,11382
2021-08-19,0,26.6,2.3,50,0.039,13,8,13862
2021-08-20,0,23.8,2.7,50,0,17,12,13206
2021-08-21,1,24.4,2.1,250,0,11,8,4136
2021-08-22,1,22.4,2,50,0.005,23,16,10488
2021-08-23,0,23.4,2.9,50,0,25,16,4835
2021-08-24,0,25,1.8,160,0.003,11,6,4687
2021-08-25,0,25.5,2.5,230,0,17,9,12641
2021-08-26,0,22.4,1.3,290,0.311,39,25,12270
2021-08-27,0,23.6,1.8,270,0.01,32,17,8687
2021-08-28,1,23.7,1.6,270,0,33,20,11982
2021-08-29,1,24.2,1.4,270,0,27,21,10249
2021-08-30,0,20.5,2.3,50,0,36,24,13767
2021-08-31,0,21.4,2.9,50,0,28,21,2258
2021-09-01,0,23.5,2.1,50,0.037,5,2,12443
2021-09-02,0,24.3,2.4,70,0.091,9,3,13529
2021-09-03,0,23.2,2.7,50,0.002,12,5,14766
2021-09-04,1,23.1,3.2,50,0,7,3,13105
2021-09-05,1,22.3,3.2,70,0,5,2,12050
2021-09-06,0,19.6,2.3,50,0,14,4,7441
2021-09-07,0,22.2,1.7,270,0,8,6,1903
2021-09-08,0,23.5,1.5,20,0,6,1,14199
2021-09-09,0,23.6,1.9,20,0,29,18,14578
2021-09-10,0,24,1.7,20,0,37,26,14142
2021-09-11,1,24.2,1.8,270,0,29,21,12568
2021-09-12,1,24.8,2.4,50,0,21,13,11345
2021-09-13,0,24.6,2.6,50,0,25,15,14589
2021-09-14,0,23.6,3.6,70,0,20,10,14801
2021-09-15,0,22.9,2.6,50,0,13,4,15199
2021-09-16,0,23.5,3,50,0.159,9,4,15233
2021-09-17,0,23.9,1.6,50,0.054,12,4,15366
2021-09-18,1,23.7,1.9,50,0,7,3,11842
2021-09-19,1,23.7,2.7,90,0,11,6,9869
2021-09-20,1,22,2.9,180,0,9,4,9045
2021-09-21,1,20.2,2.7,250,0,14,10,6897
2021-09-22,1,20.9,2.4,270,0,8,4,10673
2021-09-23,0,21.8,2.2,50,0.008,13,7,14837
2021-09-24,0,21.2,2.3,50,0.018,19,10,15817
2021-09-25,1,22.6,2.3,70,0,7,2,13744
2021-09-26,1,21.6,2.4,70,0.026,5,2,12497
2021-09-27,0,21.5,2.2,50,0,8,2,14146
2021-09-28,0,20.2,1.7,50,0,8,3,10845
2021-09-29,0,20.3,1.5,20,0,13,8,6819
2021-09-30,0,21.1,2.4,270,0,19,9,15892
2021-10-01,0,20.7,1.6,20,0.008,37,21,14647
2021-10-02,1,22.3,1.9,50,0.005,14,5,13254
2021-10-03,1,22.9,2.9,200,0.005,38,24,12335
2021-10-04,1,23.6,3.3,200,0,38,18,6836
2021-10-05,0,18.8,2.8,50,0.029,37,13,13500
2021-10-06,0,19.4,1.9,270,0,9,2,9215
2021-10-07,0,18.8,1.7,50,0,7,3,13487
2021-10-08,0,20.9,2.3,50,0,14,6,8271
2021-10-09,1,19.9,2.2,270,0,8,3,11604
2021-10-10,1,15.2,2.2,50,0.002,19,13,3214
2021-10-11,1,17.9,3.3,70,0,30,6,11609
2021-10-12,0,19.6,2.4,50,0.005,10,2,14790
2021-10-13,0,19.7,2,270,0.018,12,3,15879
2021-10-14,0,19,2.1,340,0,16,6,16130
2021-10-15,0,10.7,3.4,290,0,26,14,14417
2021-10-16,1,5.6,2.9,270,0,29,8,8251
2021-10-17,1,9.6,2,50,0,22,4,6744
2021-10-18,0,10.9,2.4,270,0,20,5,9831
2021-10-19,0,9.5,1.7,270,0,26,17,11788
2021-10-20,0,9.8,1.7,20,0,32,15,12734
2021-10-21,0,10.8,1.8,290,0,37,20,12857
2021-10-22,0,11.4,1.6,270,0,47,24,12969
2021-10-23,1,11.4,1.7,20,0,44,23,10364
2021-10-24,1,11.7,1.9,290,0,32,21,9108
2021-10-25,0,13,1.7,270,0.01,31,18,12544
2021-10-26,0,13.4,2.2,290,0,47,29,13587
2021-10-27,0,12.7,1.4,50,0,52,31,13411
2021-10-28,0,14.6,2,50,0,34,16,13722
2021-10-29,0,13.8,1.6,50,0,29,13,13810
2021-10-30,1,14.1,1.6,20,0,20,9,11082
2021-10-31,1,12.9,1.9,250,0,32,17,9032
2021-11-01,0,11.5,1.7,270,0,33,20,13383
2021-11-02,0,12.1,1.5,270,0.073,40,24,14109
2021-11-03,0,12.1,1.3,20,0.007,48,29,14316
2021-11-04,0,13,1.5,20,0,49,34,13868
2021-11-05,0,14.1,1.6,20,0,79,51,14238
2021-11-06,1,15.3,2.1,70,0,65,38,11631
2021-11-07,1,8.6,3.2,250,0,45,25,10636
2021-11-08,0,4.9,2.4,200,0,10,3,1803
2021-11-09,0,4.2,2.5,270,0,9,4,4527
2021-11-10,0,5.3,2.9,270,0,15,6,9597
2021-11-11,0,4.5,2.6,290,0,15,5,10933
2021-11-12,0,7.3,1.5,20,0,21,8,10745
2021-11-13,1,11.3,2.2,50,0,28,10,9102
2021-11-14,1,10.1,1.6,270,0,55,25,8505
2021-11-15,0,8.5,1.9,270,0,63,23,12086
2021-11-16,0,7.5,1.6,270,0,55,24,11665
2021-11-17,0,11.9,2.4,50,0,35,20,12142
2021-11-18,0,12.9,1.9,200,0,64,28,12128
2021-11-19,0,10.4,1.6,20,0,104,59,12547
2021-11-20,1,10.4,1.9,70,0,138,85,8766
2021-11-21,1,2.7,4.1,270,0.098,132,92,6434
2021-11-22,0,-0.6,3.2,270,0,47,13,8948
2021-11-23,0,4.1,1.9,230,0,34,9,9017
2021-11-24,0,5.7,2.2,270,0,22,7,10329
2021-11-25,0,2.9,2.2,270,0,53,18,10739
2021-11-26,0,3.4,1.6,290,0,23,10,9967
2021-11-27,1,5.1,1.5,50,0,44,20,7394
2021-11-28,1,7.6,1.6,20,0,52,30,6547
2021-11-29,0,5.7,3.7,270,0,76,45,10974
2021-11-30,0,-1.3,4.2,270,0,28,16,3450
2021-12-01,0,1.3,2.1,200,0,19,8,7406
2021-12-02,0,1.9,2.9,270,0,25,11,7584
2021-12-03,0,1.4,2,270,0,23,9,7994
2021-12-04,1,2.9,1.4,20,0,25,11,6086
2021-12-05,1,5.4,1.6,20,0,38,20,5588
2021-12-06,0,6.8,1.2,50,0.005,70,35,9429
2021-12-07,0,6.7,1.5,20,0,66,36,10013
2021-12-08,0,6.5,2.2,50,0,52,27,10166
2021-12-09,0,7,2.1,50,0.005,61,31,10145
2021-12-10,0,6,1.4,270,0.002,31,15,8147
2021-12-11,1,1.2,3.2,290,0,69,40,7024
2021-12-12,1,-2.2,2.3,270,0,48,25,4584
2021-12-13,0,3.7,2,50,0,25,8,7343
2021-12-14,0,7.2,1.7,270,0,34,15,6533
2021-12-15,0,6.4,1.8,250,0,84,50,8153
2021-12-16,0,-5.6,4.6,270,0,94,54,9262
2021-12-17,0,-5.7,2,20,0,38,16,5831
2021-12-18,1,-0.8,2,20,0,25,9,2650
2021-12-19,1,5.2,2.1,230,0,36,12,2385
