조사년월일,측정지역,일일강수량
20220218,영등포구,0
20220217,영등포구,0
20220216,영등포구,0
20220215,영등포구,0
20220214,영등포구,0.006
20220213,영등포구,0
20220212,영등포구,0
20220211,영등포구,0
20220209,영등포구,0
20220208,영등포구,0
20220207,영등포구,0
20220206,영등포구,0
20220205,영등포구,0
20220203,영등포구,0
20220202,영등포구,0
20220131,영등포구,0.003
20220130,영등포구,0
20220129,영등포구,0
20220128,영등포구,0
20220127,영등포구,0
20220126,영등포구,0
20220125,영등포구,0
20220124,영등포구,0
20220123,영등포구,0
20220122,영등포구,0
20220121,영등포구,0
20220120,영등포구,0
20220119,영등포구,0
20220118,영등포구,0
20220117,영등포구,0
20220116,영등포구,0
20220115,영등포구,0
20220114,영등포구,0
20220113,영등포구,0
20220112,영등포구,0
20220111,영등포구,0
20220110,영등포구,0.003
20220109,영등포구,0
20220108,영등포구,0
20220107,영등포구,0
20220106,영등포구,0
20220105,영등포구,0
20220104,영등포구,0
20220103,영등포구,0
20220102,영등포구,0.003
20220101,영등포구,0
20211231,영등포구,0
20211230,영등포구,0
20211229,영등포구,0
20211228,영등포구,0
20211227,영등포구,0
20211226,영등포구,0
20211225,영등포구,0
20211224,영등포구,0
20211223,영등포구,0
20211222,영등포구,0
20211221,영등포구,0
20211220,영등포구,0
20211219,영등포구,0
20211218,영등포구,0.009
20211217,영등포구,0
20211216,영등포구,0
20211215,영등포구,0.009
20211214,영등포구,0.003
20211213,영등포구,0
20211212,영등포구,0
20211211,영등포구,0
20211210,영등포구,0
20211209,영등포구,0
20211208,영등포구,0
20211207,영등포구,0
20211206,영등포구,0
20211205,영등포구,0
20211204,영등포구,0
20211203,영등포구,0.003
20211202,영등포구,0
20211201,영등포구,0
20211130,영등포구,0.18
20211129,영등포구,0
20211128,영등포구,0
20211127,영등포구,0
20211126,영등포구,0
20211125,영등포구,0
20211124,영등포구,0
20211123,영등포구,0
20211122,영등포구,0.006
20211121,영등포구,0.028
20211120,영등포구,0
20211119,영등포구,0
20211118,영등포구,0
20211117,영등포구,0
20211116,영등포구,0
20211115,영등포구,0
20211114,영등포구,0
20211113,영등포구,0
20211112,영등포구,0
20211111,영등포구,0
20211110,영등포구,0
20211109,영등포구,0.028
20211108,영등포구,0.19
20211107,영등포구,0
20211106,영등포구,0
20211105,영등포구,0
20211104,영등포구,0
20211103,영등포구,0
20211102,영등포구,0
20211101,영등포구,0
20211031,영등포구,0.063
20211030,영등포구,0
20211029,영등포구,0
20211028,영등포구,0
20211027,영등포구,0
20211026,영등포구,0
20211025,영등포구,0
20211024,영등포구,0
20211023,영등포구,0
20211022,영등포구,0
20211021,영등포구,0
20211020,영등포구,0
20211019,영등포구,0.025
20211018,영등포구,0.057
20211017,영등포구,0
20211016,영등포구,0
20211015,영등포구,0
20211014,영등포구,0
20211013,영등포구,0
20211012,영등포구,0
20211011,영등포구,0.003
20211010,영등포구,0.082
20211009,영등포구,0
20211008,영등포구,0.016
20211007,영등포구,0.028
20211006,영등포구,0.016
20211005,영등포구,0.003
20211004,영등포구,0.009
20211003,영등포구,0
20211002,영등포구,0
20211001,영등포구,0.07
20210930,영등포구,0
20210928,영등포구,0.009
20210927,영등포구,0
20210926,영등포구,0
20210925,영등포구,0
20210924,영등포구,0
20210923,영등포구,0
20210922,영등포구,0.028
20210921,영등포구,0.367
20210920,영등포구,0
20210919,영등포구,0
20210918,영등포구,0
20210917,영등포구,0
20210916,영등포구,0
20210915,영등포구,0
20210914,영등포구,0
20210913,영등포구,0
20210912,영등포구,0
20210911,영등포구,0
20210910,영등포구,0
20210909,영등포구,0
20210908,영등포구,0.009
20210907,영등포구,0.136
20210906,영등포구,0.095
20210905,영등포구,0
20210904,영등포구,0
20210903,영등포구,0
20210902,영등포구,0.003
20210901,영등포구,0.003
20210831,영등포구,0.582
20210830,영등포구,0
20210829,영등포구,0.035
20210828,영등포구,0
20210827,영등포구,0.006
20210826,영등포구,0.006
20210824,영등포구,0.054
20210823,영등포구,0.051
20210822,영등포구,0.003
20210821,영등포구,0.367
20210820,영등포구,0
20210819,영등포구,0
20210818,영등포구,0.057
20210817,영등포구,0.139
20210816,영등포구,0.054
20210815,영등포구,0
20210814,영등포구,0
20210813,영등포구,0
20210812,영등포구,0
20210811,영등포구,0
20210810,영등포구,0
20210809,영등포구,0
20210808,영등포구,0.171
20210807,영등포구,0
20210806,영등포구,0
20210805,영등포구,0
20210804,영등포구,0
20210803,영등포구,0
20210801,영등포구,0.063
20210731,영등포구,0.016
20210730,영등포구,0
20210729,영등포구,0
20210728,영등포구,0
20210727,영등포구,0
20210726,영등포구,0
20210725,영등포구,0
20210724,영등포구,0
20210723,영등포구,0
20210722,영등포구,0
20210721,영등포구,0
20210720,영등포구,0.079
20210718,영등포구,0.047
20210717,영등포구,0
20210716,영등포구,0.152
20210715,영등포구,0
20210714,영등포구,0
20210713,영등포구,0
20210712,영등포구,0
20210711,영등포구,0
20210710,영등포구,0.013
20210709,영등포구,0
20210708,영등포구,0.016
20210707,영등포구,0.035
20210706,영등포구,0
20210705,영등포구,0
20210704,영등포구,0.098
20210703,영등포구,0.323
20210702,영등포구,0
20210701,영등포구,0
20210630,영등포구,0.003
20210628,영등포구,0.022
20210627,영등포구,0.006
20210626,영등포구,0.009
20210625,영등포구,0
20210624,영등포구,0
20210623,영등포구,0.022
20210622,영등포구,0.111
20210621,영등포구,0
20210620,영등포구,0
20210619,영등포구,0
20210618,영등포구,0.035
20210617,영등포구,0
20210616,영등포구,0
20210615,영등포구,0.013
20210614,영등포구,0
20210613,영등포구,0
20210612,영등포구,0
20210611,영등포구,0.032
20210610,영등포구,0.044
20210609,영등포구,0
20210608,영등포구,0
20210607,영등포구,0.003
20210606,영등포구,0
20210605,영등포구,0
20210604,영등포구,0
20210603,영등포구,0.13
20210602,영등포구,0
20210601,영등포구,0.006
20210531,영등포구,0.009
20210530,영등포구,0.114
20210529,영등포구,0
20210528,영등포구,0.089
20210527,영등포구,0.051
20210526,영등포구,0
20210525,영등포구,0.044
20210524,영등포구,0
20210523,영등포구,0
20210522,영등포구,0
20210521,영등포구,0.076
20210520,영등포구,0.009
20210519,영등포구,0
20210518,영등포구,0
20210517,영등포구,0.025
20210516,영등포구,0.345
20210515,영등포구,0.092
20210514,영등포구,0
20210513,영등포구,0
20210512,영등포구,0
20210511,영등포구,0
20210510,영등포구,0
20210509,영등포구,0
20210508,영등포구,0
20210507,영등포구,0.051
20210506,영등포구,0
20210505,영등포구,0.003
20210504,영등포구,0.139
20210503,영등포구,0
20210502,영등포구,0.013
20210501,영등포구,0.013
20210430,영등포구,0.149
20210429,영등포구,0.028
20210428,영등포구,0.013
20210427,영등포구,0.019
20210426,영등포구,0
20210425,영등포구,0
20210424,영등포구,0
20210423,영등포구,0
20210422,영등포구,0
20210421,영등포구,0
20210420,영등포구,0
20210419,영등포구,0
20210418,영등포구,0
20210417,영등포구,0
20210416,영등포구,0.003
20210415,영등포구,0
20210414,영등포구,0
20210413,영등포구,0.035
20210412,영등포구,0.12
20210411,영등포구,0
20210410,영등포구,0
20210409,영등포구,0
20210408,영등포구,0
20210407,영등포구,0
20210406,영등포구,0
20210405,영등포구,0
20210404,영등포구,0.003
20210403,영등포구,0.342
20210402,영등포구,0
20210401,영등포구,0
20210331,영등포구,0
20210330,영등포구,0
20210329,영등포구,0.003
20210328,영등포구,0.044
20210327,영등포구,0.146
20210326,영등포구,0
20210325,영등포구,0
20210324,영등포구,0
20210323,영등포구,0
20210322,영등포구,0
20210321,영등포구,0.003
20210320,영등포구,0.028
20210319,영등포구,0
20210318,영등포구,0
20210317,영등포구,0
20210316,영등포구,0.006
20210315,영등포구,0.003
20210314,영등포구,0
