날짜,평일/주말,평군온도,풍속,풍향,강수량,미세먼지농도,초미세먼지농도,이용건수
2021-07-23,0,31.2,1.6,140,0,30,24,9078
2021-07-24,1,31.7,3.6,50,0,32,25,6612
2021-07-25,1,31.5,4.6,50,0,25,18,5867
2021-07-26,0,31.2,3.1,50,0,20,14,9568
2021-07-27,0,31.1,2,50,0,28,21,9352
2021-07-28,0,30.4,2.2,50,0,33,27,8622
2021-07-29,0,29.6,2,50,0,44,35,9148
2021-07-30,0,30.5,2,70,0.016,23,17,8903
2021-07-31,1,29.8,2.1,200,0.063,23,17,6382
2021-08-01,1,27.1,2,290,0,28,23,2654
2021-08-02,0,26.5,1.7,180,0,14,9,7915
2021-08-03,0,28,2.3,250,0,19,13,9343
2021-08-04,0,28.9,3,180,0,20,14,9029
2021-08-05,0,29.4,3.5,200,0,24,18,9236
2021-08-06,0,28.1,1.9,160,0,19,12,9500
2021-08-07,1,28,3.3,200,0.171,16,8,8349
2021-08-08,1,26.8,1.8,110,0,22,14,4273
2021-08-09,0,28.3,2.3,70,0,15,7,10612
2021-08-10,0,27.7,2.6,200,0,19,10,10707
2021-08-11,0,27.4,2,200,0,34,26,10134
2021-08-12,0,26.8,2.2,200,0,39,31,8850
2021-08-13,0,26.6,1.9,200,0,28,20,10995
2021-08-14,1,26.1,2.5,200,0,15,9,9529
2021-08-15,1,26.9,3.5,230,0.054,12,8,9461
2021-08-16,1,27.3,1.9,230,0.139,19,13,8393
2021-08-17,0,25.9,3,230,0.057,19,10,5710
2021-08-18,0,24.3,2.3,290,0,13,6,9501
2021-08-19,0,26,1.6,270,0,15,8,11867
2021-08-20,0,26.6,2,290,0.367,19,12,11390
2021-08-21,1,23.8,1.7,270,0.003,14,8,3302
2021-08-22,1,24.4,1.6,290,0.051,24,17,9506
2021-08-23,0,22.4,2.1,340,0.054,25,17,3583
2021-08-24,0,23.4,1.9,250,0.003,14,7,3501
2021-08-25,0,25,2.2,230,0.006,17,9,9925
2021-08-26,0,25.5,2.1,320,0.006,38,25,9547
2021-08-27,0,22.4,3.4,70,0,33,18,6753
2021-08-28,1,23.6,3.6,110,0.035,32,19,10339
2021-08-29,1,23.7,1.6,250,0,27,20,9492
2021-08-30,0,24.2,1.3,160,0.582,36,25,11607
2021-08-31,0,20.5,2.1,50,0.003,28,22,1820
2021-09-01,0,21.4,2.8,50,0.003,7,3,10042
2021-09-02,0,23.5,1.9,90,0,9,3,9951
2021-09-03,0,24.3,2.3,50,0,15,8,12784
2021-09-04,1,23.2,4.8,270,0,11,6,12123
2021-09-05,1,23.1,2.7,200,0.095,11,5,11369
2021-09-06,0,22.3,2,110,0.136,17,9,5558
2021-09-07,0,19.6,2.7,50,0.009,11,7,1181
2021-09-08,0,22.2,4.2,320,0,11,5,12189
2021-09-09,0,23.5,4.2,250,0,29,18,12145
2021-09-10,0,23.6,2.1,320,0,34,24,11631
2021-09-11,1,24,2,180,0,28,22,10976
2021-09-12,1,24.2,2.8,50,0,21,14,10786
2021-09-13,0,24.8,2,50,0,27,16,12046
2021-09-14,0,24.6,1.9,320,0,23,13,11774
2021-09-15,0,23.6,1.8,290,0,15,8,11959
2021-09-16,0,22.9,1.6,180,0,13,5,11612
2021-09-17,0,23.5,1.9,200,0,13,6,12174
2021-09-18,1,23.9,2.1,290,0,11,5,9973
2021-09-19,1,23.7,2.8,230,0,14,8,8752
2021-09-20,1,23.7,2.2,270,0.367,12,7,8118
2021-09-21,1,22,2,270,0.028,27,13,5991
2021-09-22,1,20.2,1.7,160,0,12,6,10200
2021-09-23,0,20.9,2.8,50,0,14,8,12619
2021-09-24,0,21.8,3.3,50,0,20,13,13002
2021-09-25,1,21.2,3.7,50,0,6,2,11805
2021-09-26,1,22.6,2.5,50,0,8,3,11697
2021-09-27,0,21.6,2.4,50,0.009,13,5,10658
2021-09-28,0,21.5,2,320,0.016,14,7,6748
2021-09-29,0,20.2,2,270,0,15,9,4739
2021-09-30,0,20.3,1.9,290,0.07,21,10,11878
2021-10-01,0,21.1,1.7,250,0,35,21,11473
2021-10-02,1,20.7,2.1,230,0,27,14,11219
2021-10-03,1,22.3,2.3,180,0.009,35,23,11515
2021-10-04,1,22.9,1.6,270,0.003,38,19,5423
2021-10-05,0,23.6,2.8,320,0.016,37,15,10020
2021-10-06,0,18.8,2.5,290,0.028,11,5,6627
2021-10-07,0,19.4,2,290,0.016,14,7,9293
2021-10-08,0,18.8,1.9,50,0,22,14,6086
2021-10-09,1,20.9,3.1,50,0.082,14,8,10362
2021-10-10,1,19.9,3,50,0.003,21,13,2745
2021-10-11,1,15.2,2,20,0,27,9,9845
2021-10-12,0,17.9,1.8,50,0,13,4,11547
2021-10-13,0,19.6,2.2,250,0,14,5,12428
2021-10-14,0,19.7,2.2,270,0,20,10,11670
2021-10-15,0,19,2.4,270,0,26,15,10579
2021-10-16,1,10.7,1.5,270,0,29,9,5803
2021-10-17,1,5.6,1.5,50,0.057,21,6,5110
2021-10-18,0,9.6,1.8,270,0.025,23,10,7253
2021-10-19,0,10.9,2,290,0,27,17,8750
2021-10-20,0,9.5,1.7,250,0,28,16,9501
2021-10-21,0,9.8,1.6,250,0,31,19,9436
2021-10-22,0,10.8,1.9,160,0,38,22,10079
2021-10-23,1,11.4,2.8,320,0,42,25,8476
2021-10-24,1,11.4,3,290,0,30,19,7875
2021-10-25,0,11.7,2.5,290,0,28,18,9656
2021-10-26,0,13,1.7,250,0,43,28,10483
2021-10-27,0,13.4,1.6,320,0,45,28,9901
2021-10-28,0,12.7,1.8,320,0,24,11,10084
2021-10-29,0,14.6,2.5,270,0,23,9,10557
2021-10-30,1,13.8,2,320,0.063,25,13,8272
2021-10-31,1,14.1,1.5,90,0,31,19,7394
2021-11-01,0,12.9,2.6,230,0,33,21,10101
2021-11-02,0,11.5,2.3,200,0,39,25,10344
2021-11-03,0,12.1,2.3,250,0,45,28,10468
2021-11-04,0,12.1,3.5,290,0,48,34,9888
2021-11-05,0,13,2.3,290,0,70,45,10422
2021-11-06,1,14.1,1.8,180,0,56,33,9189
2021-11-07,1,15.3,1.7,200,0.19,33,20,8973
2021-11-08,0,8.6,2.7,270,0.028,11,4,1048
2021-11-09,0,4.9,3.1,320,0,10,5,2595
2021-11-10,0,4.2,1.8,290,0,14,7,6617
2021-11-11,0,5.3,2.2,290,0,15,6,7578
2021-11-12,0,4.5,1.6,180,0,21,9,7750
2021-11-13,1,7.3,1.7,200,0,27,12,6579
2021-11-14,1,11.3,1.6,250,0,50,25,6804
2021-11-15,0,10.1,1.7,110,0,59,23,9105
2021-11-16,0,8.5,1.7,290,0,49,22,9043
2021-11-17,0,7.5,1.6,50,0,34,17,8921
2021-11-18,0,11.9,2.3,50,0,57,27,8467
2021-11-19,0,12.9,2.6,50,0,98,60,9402
2021-11-20,1,10.4,4.2,230,0.028,138,94,6705
2021-11-21,1,10.4,3.2,270,0.006,124,90,4964
2021-11-22,0,2.7,2.1,50,0,40,14,6206
2021-11-23,0,-0.6,2.5,290,0,27,9,6054
2021-11-24,0,4.1,2.3,320,0,26,12,7407
2021-11-25,0,5.7,1.8,290,0,46,18,7638
2021-11-26,0,2.9,1.5,290,0,24,13,7326
2021-11-27,1,3.4,1.7,340,0,37,22,5307
2021-11-28,1,5.1,2.7,250,0,43,32,5150
2021-11-29,0,7.6,2.8,290,0.18,55,41,7902
2021-11-30,0,5.7,2.2,290,0,22,17,2335
2021-12-01,0,-1.3,1.9,290,0,16,9,5214
2021-12-02,0,1.3,1.9,250,0.003,23,13,5617
2021-12-03,0,1.9,1.8,290,0,21,9,6017
2021-12-04,1,1.4,2.7,320,0,23,12,4175
2021-12-05,1,2.9,1.8,250,0,34,23,4318
2021-12-06,0,5.4,1.7,320,0,43,28,7013
2021-12-07,0,6.8,1.8,270,0,56,38,7338
2021-12-08,0,6.7,2.6,290,0,44,28,7528
2021-12-09,0,6.5,2,320,0,36,23,7192
2021-12-10,0,7,1.5,50,0,29,19,6050
2021-12-11,1,6,1.7,250,0,62,45,5029
2021-12-12,1,1.2,1.8,250,0,41,26,3221
2021-12-13,0,-2.2,2.1,290,0.003,21,9,5096
2021-12-14,0,3.7,2.9,290,0.009,32,19,4495
2021-12-15,0,7.2,3.4,290,0,75,54,5620
2021-12-16,0,6.4,2.8,320,0,87,60,6729
2021-12-17,0,-5.6,2.6,290,0.009,33,17,3975
2021-12-18,1,-5.7,1.7,290,0,24,12,1655
2021-12-19,1,-0.8,3,320,0,31,13,1525
2021-12-20,0,5.2,2.4,290,0,52,27,5380
2021-12-21,0,5.2,2,290,0,54,32,5737
