조사년월일,측정지역,일일강수량
20211229,송파구,0
20211228,송파구,0
20211227,송파구,0
20211226,송파구,0
20211225,송파구,0
20211224,송파구,0
20211223,송파구,0
20211222,송파구,0
20211221,송파구,0
20211220,송파구,0
20211219,송파구,0.002
20211218,송파구,0.005
20211217,송파구,0
20211216,송파구,0
20211215,송파구,0.005
20211214,송파구,0
20211213,송파구,0
20211212,송파구,0
20211211,송파구,0
20211210,송파구,0
20211209,송파구,0
20211208,송파구,0
20211207,송파구,0
20211206,송파구,0
20211205,송파구,0
20211204,송파구,0
20211203,송파구,0
20211202,송파구,0
20211201,송파구,0
20211130,송파구,0.098
20211129,송파구,0
20211128,송파구,0
20211127,송파구,0
20211126,송파구,0
20211125,송파구,0
20211124,송파구,0
20211123,송파구,0
20211119,송파구,0
20211118,송파구,0
20211117,송파구,0
20211116,송파구,0
20211115,송파구,0
20211114,송파구,0
20211113,송파구,0
20211112,송파구,0
20211111,송파구,0
20211110,송파구,0
20211109,송파구,0.007
20211108,송파구,0.073
20211107,송파구,0
20211106,송파구,0
20211105,송파구,0
20211104,송파구,0
20211103,송파구,0
20211102,송파구,0
20211101,송파구,0
20211031,송파구,0.01
20211030,송파구,0
20211029,송파구,0
20211028,송파구,0
20211027,송파구,0
20211026,송파구,0
20211025,송파구,0
20211024,송파구,0
20211023,송파구,0
20211022,송파구,0
20211021,송파구,0
20211020,송파구,0
20211019,송파구,0.018
20211018,송파구,0.005
20211017,송파구,0
20211016,송파구,0.002
20211015,송파구,0
20211014,송파구,0
20211013,송파구,0
20211012,송파구,0
20211010,송파구,0.029
20211009,송파구,0
20211008,송파구,0.005
20211007,송파구,0.005
20211006,송파구,0.008
20211005,송파구,0
20211004,송파구,0
20211003,송파구,0
20211002,송파구,0
20211001,송파구,0.026
20210930,송파구,0
20210929,송파구,0.018
20210928,송파구,0.008
20210927,송파구,0
20210926,송파구,0
20210925,송파구,0
20210924,송파구,0
20210923,송파구,0
20210922,송파구,0.054
20210921,송파구,0.159
20210920,송파구,0
20210919,송파구,0
20210918,송파구,0
20210917,송파구,0
20210916,송파구,0
20210915,송파구,0
20210914,송파구,0
20210913,송파구,0
20210912,송파구,0
20210911,송파구,0
20210910,송파구,0
20210909,송파구,0
20210908,송파구,0.002
20210907,송파구,0.091
20210906,송파구,0.037
20210905,송파구,0
20210904,송파구,0
20210903,송파구,0
20210902,송파구,0
20210901,송파구,0.01
20210831,송파구,0.311
20210830,송파구,0
20210829,송파구,0.003
20210828,송파구,0
20210827,송파구,0.005
20210826,송파구,0
20210825,송파구,0
20210824,송파구,0.039
20210823,송파구,0.016
20210821,송파구,0.154
20210820,송파구,0.007
20210819,송파구,0
20210818,송파구,0.034
20210817,송파구,0.015
20210816,송파구,0
20210815,송파구,0
20210814,송파구,0
20210813,송파구,0
20210812,송파구,0.013
20210811,송파구,0
20210810,송파구,0
20210809,송파구,0
20210808,송파구,0
20210807,송파구,0
20210806,송파구,0
20210805,송파구,0.002
20210804,송파구,0
20210803,송파구,0
20210801,송파구,0.021
20210731,송파구,0.05
20210730,송파구,0
20210729,송파구,0
20210728,송파구,0
20210727,송파구,0
20210726,송파구,0
20210725,송파구,0
20210724,송파구,0
20210723,송파구,0
20210722,송파구,0
20210721,송파구,0
20210720,송파구,0
20210719,송파구,0.016
20210718,송파구,0
20210717,송파구,0
20210716,송파구,0
20210715,송파구,0
20210714,송파구,0
20210713,송파구,0
20210712,송파구,0
20210711,송파구,0.002
20210710,송파구,0.021
20210709,송파구,0
20210708,송파구,0.008
20210707,송파구,0.003
20210706,송파구,0
20210705,송파구,0
20210704,송파구,0.06
20210703,송파구,0.2
20210702,송파구,0
20210701,송파구,0
20210630,송파구,0.028
20210629,송파구,0
20210628,송파구,0
20210627,송파구,0.007
20210626,송파구,0.02
20210625,송파구,0
20210624,송파구,0
20210623,송파구,0.075
20210622,송파구,0.015
20210621,송파구,0
20210620,송파구,0
20210619,송파구,0
20210618,송파구,0.01
20210617,송파구,0
20210616,송파구,0
20210615,송파구,0.02
20210614,송파구,0
20210613,송파구,0
20210612,송파구,0
20210611,송파구,0.015
20210610,송파구,0.028
20210609,송파구,0
20210608,송파구,0
20210607,송파구,0
20210606,송파구,0
20210605,송파구,0
20210604,송파구,0
20210603,송파구,0.072
20210602,송파구,0
20210531,송파구,0.02
20210530,송파구,0.065
20210529,송파구,0
20210528,송파구,0.093
20210527,송파구,0.024
20210526,송파구,0
20210525,송파구,0.024
20210524,송파구,0
20210523,송파구,0
20210522,송파구,0
20210521,송파구,0.036
20210520,송파구,0.003
20210519,송파구,0
20210518,송파구,0
20210517,송파구,0.008
20210516,송파구,0.154
20210515,송파구,0.054
20210514,송파구,0
20210513,송파구,0
20210512,송파구,0
20210511,송파구,0
20210510,송파구,0
20210509,송파구,0
20210508,송파구,0
20210507,송파구,0.02
20210506,송파구,0
20210504,송파구,0.06
20210503,송파구,0
20210502,송파구,0.005
20210501,송파구,0.034
20210430,송파구,0.065
20210429,송파구,0.015
20210428,송파구,0.01
20210427,송파구,0
20210426,송파구,0
20210425,송파구,0
20210424,송파구,0
20210423,송파구,0
20210422,송파구,0
20210421,송파구,0
20210420,송파구,0
20210419,송파구,0
20210418,송파구,0
20210417,송파구,0
20210416,송파구,0
20210415,송파구,0
20210414,송파구,0
20210413,송파구,0.015
20210412,송파구,0.06
20210411,송파구,0
20210410,송파구,0
20210409,송파구,0
20210408,송파구,0
20210407,송파구,0
20210406,송파구,0
20210405,송파구,0
20210404,송파구,0
20210403,송파구,0.172
20210402,송파구,0
20210401,송파구,0
20210331,송파구,0
20210330,송파구,0
20210329,송파구,0
20210328,송파구,0.02
20210327,송파구,0.06
20210326,송파구,0
20210325,송파구,0
20210324,송파구,0
20210323,송파구,0
20210322,송파구,0
20210321,송파구,0.002
20210320,송파구,0.013
20210319,송파구,0
20210318,송파구,0
20210317,송파구,0
20210316,송파구,0.005
20210315,송파구,0.003
20210314,송파구,0
20210313,송파구,0
20210312,송파구,0
20210311,송파구,0
20210310,송파구,0
20210309,송파구,0
20210308,송파구,0
20210307,송파구,0
20210306,송파구,0
20210305,송파구,0
20210304,송파구,0
20210303,송파구,0
20210302,송파구,0
20210301,송파구,0.198
20210228,송파구,0
20210227,송파구,0
20210226,송파구,0
20210225,송파구,0
20210224,송파구,0
20210223,송파구,0
20210222,송파구,0
20210221,송파구,0
20210220,송파구,0
20210219,송파구,0
20210218,송파구,0
20210217,송파구,0
20210216,송파구,0
20210215,송파구,0.002
20210214,송파구,0
20210213,송파구,0
20210212,송파구,0
20210211,송파구,0
20210210,송파구,0
20210209,송파구,0
20210208,송파구,0
20210207,송파구,0
20210206,송파구,0
20210205,송파구,0
20210204,송파구,0.002
20210203,송파구,0.003
20210202,송파구,0
20210201,송파구,0.002
20210131,송파구,0
20210130,송파구,0
20210129,송파구,0
20210128,송파구,0.003
20210127,송파구,0
20210126,송파구,0.005
20210125,송파구,0
20210124,송파구,0
20210123,송파구,0
20210122,송파구,0
20210121,송파구,0.029
20210120,송파구,0
20210119,송파구,0
20210118,송파구,0
20210117,송파구,0
20210116,송파구,0
20210115,송파구,0
20210114,송파구,0
20210113,송파구,0
20210112,송파구,0.005
20210111,송파구,0
20210110,송파구,0
20210109,송파구,0
20210108,송파구,0
20210107,송파구,0
20210106,송파구,0.011
20210105,송파구,0
20210104,송파구,0
20210103,송파구,0
20210102,송파구,0
20210101,송파구,0
