조사년월일,측정지역,일일강수량
20220815,강서구,0.012
20220814,강서구,0.009
20220813,강서구,0.023
20220812,강서구,0
20220811,강서구,0.127
20220810,강서구,0.032
20220809,강서구,0.807
20220808,강서구,0.594
20220807,강서구,0.003
20220806,강서구,0
20220805,강서구,0.003
20220804,강서구,0
20220803,강서구,0.254
20220802,강서구,0.357
20220801,강서구,0.176
20220731,강서구,0.164
20220730,강서구,0
20220729,강서구,0
20220728,강서구,0.032
20220727,강서구,0
20220726,강서구,0
20220725,강서구,0
20220724,강서구,0.006
20220723,강서구,0.069
20220722,강서구,0
20220721,강서구,0.086
20220720,강서구,0.006
20220719,강서구,0
20220717,강서구,0
20220716,강서구,0
20220715,강서구,0
20220714,강서구,0.003
20220713,강서구,0.524
20220712,강서구,0
20220711,강서구,0.003
20220710,강서구,0
20220709,강서구,0.003
20220708,강서구,0.006
20220706,강서구,0.133
20220705,강서구,0.029
20220704,강서구,0.029
20220703,강서구,0
20220702,강서구,0
20220701,강서구,0
20220630,강서구,1
20220629,강서구,0.236
20220628,강서구,0.023
20220627,강서구,0.02
20220626,강서구,0
20220625,강서구,0
20220624,강서구,0.063
20220623,강서구,0.556
20220622,강서구,0
20220621,강서구,0
20220620,강서구,0
20220619,강서구,0
20220618,강서구,0
20220617,강서구,0
20220616,강서구,0.006
20220615,강서구,0.107
20220614,강서구,0
20220613,강서구,0
20220612,강서구,0
20220611,강서구,0
20220610,강서구,0.014
20220609,강서구,0.006
20220608,강서구,0
20220607,강서구,0
20220606,강서구,0.02
20220605,강서구,0
20220604,강서구,0
20220603,강서구,0
20220602,강서구,0
20220601,강서구,0
20220531,강서구,0
20220530,강서구,0
20220529,강서구,0
20220528,강서구,0
20220527,강서구,0
20220526,강서구,0
20220525,강서구,0.017
20220524,강서구,0
20220523,강서구,0
20220522,강서구,0
20220521,강서구,0
20220520,강서구,0
20220519,강서구,0
20220518,강서구,0.012
20220517,강서구,0
20220516,강서구,0
