대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2021-04-09,0,13.6,2.7,50,0,33,16,7917
2021-04-10,1,12.6,2.6,250,0,33,19,8310
2021-04-11,1,15,1.7,20,0,45,24,8348
2021-04-12,0,13.8,2.4,70,0.06,35,21,1954
2021-04-13,0,10.4,3.7,270,0.015,9,6,5633
2021-04-14,0,8.4,2.9,270,0,26,13,6622
2021-04-15,0,11.6,2.1,270,0,39,19,7338
2021-04-16,0,11.3,2.6,200,0,69,16,5592
2021-04-17,1,9.6,2.6,230,0,75,14,5276
2021-04-18,1,9.9,3.2,250,0,30,13,7370
2021-04-19,0,12.2,2.4,200,0,45,21,7295
2021-04-20,0,14.8,1.9,270,0,63,32,7664
2021-04-21,0,19.1,1.8,270,0,72,36,8160
2021-04-22,0,20.9,2.5,50,0,70,36,8046
2021-04-23,0,19,3.2,50,0,44,22,7963
2021-04-24,1,18.3,2.7,50,0,26,12,8679
2021-04-25,1,18.2,2.7,50,0,26,13,9370
2021-04-26,0,16.2,2.6,110,0,31,13,8190
2021-04-27,0,15.4,2.3,200,0,31,15,6951
2021-04-28,0,14.5,2.4,200,0.01,54,21,7799
2021-04-29,0,14.6,2.3,50,0.015,60,19,7536
2021-05-01,1,10.2,2.7,270,0.034,24,12,2400
2021-05-02,1,12.4,3.1,270,0.005,15,7,8854
2021-05-03,0,14.1,2.1,200,0,28,17,8420
2021-05-04,0,13.8,2.1,50,0.06,28,17,1815
2021-05-05,1,13.9,3.5,250,0,42,10,9529
2021-05-06,0,15.7,2.4,50,0.02,66,16,8271
2021-05-07,0,14.4,3.4,230,0,326,53,5971
2021-05-08,1,14.3,3.4,250,0,456,70,5297
2021-05-09,1,15.7,3.5,270,0,50,11,8534
2021-05-10,0,13.2,1.8,50,0,22,9,6291
2021-05-11,0,18.5,2.7,110,0,22,10,8940
2021-05-12,0,22,2.2,70,0,24,11,8845
2021-05-13,0,22.9,1.9,250,0,45,26,8658
2021-05-14,0,24.1,1.7,50,0.054,55,34,8932
2021-05-15,1,22.1,1.7,50,0.154,47,33,2751
2021-05-16,1,18.4,2.5,50,0.008,10,4,193
2021-05-17,0,15.3,1.6,50,0,11,4,4297
2021-05-18,0,17.9,1.7,270,0,25,13,8815
2021-05-19,1,19.9,1.8,270,0.003,32,20,9881
2021-05-20,0,18.7,2.5,50,0.036,27,14,4589
2021-05-21,0,16,1.7,290,0,13,8,5139
2021-05-22,1,18.6,2.5,250,0,26,16,9661
2021-05-23,1,19.5,1.7,270,0,29,20,8398
2021-05-24,0,19.4,2.7,250,0.024,120,48,8408
2021-05-25,0,15.3,3.2,250,0,100,32,6341
2021-05-26,0,18,2.9,200,0.024,41,17,8526
2021-05-27,0,15.8,2.8,200,0.093,38,19,5193
2021-05-28,0,15.3,2.6,250,0,35,20,5230
2021-05-29,1,15.4,2.2,50,0.065,23,12,4700
2021-05-30,1,18.4,2.1,50,0.02,26,15,6749
2021-05-31,0,19.9,1.8,50,0,34,20,5333
2021-06-01,0,20.2,2.2,50,0.072,41,26,9764
2021-06-02,0,23.2,2.1,50,0,51,32,10725
2021-06-03,0,19.1,1.8,270,0,35,20,3282
2021-06-04,0,18.5,2.9,200,0,25,11,10946
2021-06-05,1,20.8,3.3,200,0,41,21,11415
2021-06-06,1,23,2.2,200,0,57,34,10179
2021-06-07,0,21.1,1.7,180,0,36,18,9942
2021-06-08,0,23.6,1.7,50,0.028,38,22,10577
2021-06-09,0,25.8,1.6,50,0.015,40,24,10443
2021-06-10,0,24.9,2.2,50,0,51,34,6869
2021-06-11,0,21.5,2.8,230,0,21,14,10149
2021-06-12,1,24.2,1.8,270,0,23,14,9973
2021-06-13,1,24.8,2,250,0.02,34,23,9046
2021-06-14,0,24.8,2.1,250,0,40,24,10136
2021-06-15,0,22.5,2.3,50,0,27,18,7754
2021-06-16,0,24.3,3.6,50,0.01,10,5,11464
2021-06-17,0,21.9,2.4,50,0,17,9,9473
2021-06-18,0,20,2.5,200,0,19,12,6619
2021-06-19,1,22.3,1.8,270,0,42,27,10244
2021-06-20,1,22.9,2.8,230,0.015,48,31,9820
2021-06-21,0,23.6,2.2,270,0.075,43,25,11008
2021-06-22,0,22.8,2.1,50,0,22,13,10350
2021-06-23,0,22.4,2.4,50,0,18,10,9476
2021-06-24,0,23,1.9,50,0.02,31,20,10362
2021-06-25,0,24.1,2,270,0.007,37,25,11867
2021-06-26,1,22.8,1.8,50,0,22,15,9222
2021-06-27,1,24.5,2,50,0,22,14,8237
2021-06-28,0,23.7,1.9,50,0.028,27,17,9968
2021-06-29,0,23.9,1.8,50,0,32,21,10562
2021-06-30,0,24.3,1.3,20,0,38,27,9666
2021-07-01,0,26.3,1.8,50,0.2,38,25,11094
2021-07-02,0,27.1,2.3,50,0.06,28,17,11079
2021-07-03,1,22.6,3.6,50,0,14,8,4421
2021-07-04,1,21.4,2.3,70,0,9,5,3769
2021-07-05,0,23.3,1.4,290,0.003,21,12,11206
2021-07-06,0,25.3,1.6,50,0.008,42,26,11228
2021-07-07,0,26.4,1.5,290,0,28,17,9597
2021-07-08,0,26,2,270,0.021,23,14,9763
2021-07-09,0,25.5,1.9,270,0.002,19,11,10699
2021-07-10,1,25.9,2.4,200,0,25,17,8915
2021-07-11,1,25.7,2.2,200,0,30,20,7620
2021-07-12,0,28.1,1.6,50,0,28,18,9957
2021-07-13,0,28.8,1.7,50,0,34,21,9985
2021-07-14,0,29.7,2.2,200,0,22,12,9921
2021-07-15,0,29.1,2.1,50,0,23,13,6653
2021-07-16,0,28.8,2.2,50,0,20,11,9169
2021-07-17,1,29.1,2.3,50,0.016,17,11,9171
2021-07-18,1,29.6,2.1,110,0,14,7,8112
2021-07-19,0,26.4,1.9,50,0,15,9,8516
2021-07-20,0,27.9,1.5,50,0,20,12,9509
2021-07-21,0,30.5,1.7,50,0,23,14,8653
2021-07-22,0,31.2,2,50,0,25,16,8774
2021-07-23,0,31.2,1.8,70,0,27,17,8553
2021-07-24,1,31.7,1.7,140,0,26,17,7202
2021-07-25,1,31.5,2,140,0,22,16,6587
2021-07-26,0,31.2,2.4,90,0,22,14,8557
2021-07-27,0,31.1,2.1,50,0,28,19,8563
2021-07-28,0,30.4,1.9,50,0,34,19,8665
2021-07-29,0,29.6,2,270,0.05,51,33,8457
2021-07-30,0,30.5,2.1,140,0.021,33,21,8606
2021-07-31,1,29.8,2.5,200,0,24,16,7291
2021-08-01,1,27.1,1.3,360,0,29,20,4031
2021-08-02,0,26.5,1.6,200,0.002,15,8,7887
2021-08-03,0,28,1.8,50,0,21,14,9001
2021-08-04,0,28.9,2,200,0,25,15,9049
2021-08-05,0,29.4,2.1,270,0,26,18,8984
2021-08-06,0,28.1,2.1,50,0,19,10,8784
2021-08-07,1,28,2.1,270,0,18,9,8618
2021-08-08,1,26.8,1.7,50,0,17,10,7550
2021-08-09,0,28.3,2.3,50,0.013,12,6,9178
2021-08-10,0,27.7,2.3,70,0,21,11,9809
2021-08-11,0,27.4,2,50,0,35,24,9712
2021-08-12,0,26.8,1.8,50,0,39,26,7913
2021-08-13,0,26.6,2,50,0,30,19,10125
2021-08-14,1,26.1,3,50,0.015,14,7,10404
2021-08-15,1,26.9,2.3,50,0.034,12,6,9652
